index_name,open,close,high,low,volume,money,close_pct_chg,name
399237.XSHE,1678.46,1678.43,1680.58,1644.34,284393879.0,5331460130.51,0.061182555037112785,运输指数
399997.XSHE,20170.56,21005.12,21121.67,20170.56,304941108.0,52980388708.27,0.05070149743491226,中证白酒指数
399987.XSHE,11024.93,11422.65,11476.82,11024.19,395525838.0,55634948045.04,0.044474985049733684,中证酒指数
399275.XSHE,7368.36,7660.07,7703.4,7286.41,613824566.0,33911000247.76,0.04183911485287206,创医药
399365.XSHE,23336.13,24126.26,24194.37,23331.61,1173262603.0,84444431624.65,0.0402254099244177,国证农业
399993.XSHE,6224.08,6465.46,6509.17,6160.16,498653558.0,33981170398.17,0.03853802240448223,中证万得生物科技指数
399280.XSHE,5284.95,5483.94,5518.5,5233.18,654924635.0,31541255621.61,0.03759330211437484,生物50
399372.XSHE,7793.73,8039.55,8055.92,7792.65,2869867891.0,163889670534.44,0.03704683096093442,大盘成长
399617.XSHE,21091.58,21857.17,21993.17,21083.62,529439889.0,40903784947.47,0.03696504700156833,深证消费
399231.XSHE,1874.39,1951.53,1967.15,1859.5,376411991.0,11959362820.56,0.036840063968037295,农林指数
