index_name,open,close,high,low,volume,money,close_pct_chg,name
000001.XSHG,3612.61,3655.09,3662.77,3612.5,25794082400.0,392643389630.2,0.01431945142070612,上证指数
000002.XSHG,3786.97,3831.54,3839.61,3786.85,25767688200.0,392236045656.0,0.014335295005281523,A股指数
000003.XSHG,243.26,243.93,243.95,243.11,23234700.0,105291142.2,0.002836704489393105,B股指数
000036.XSHG,22087.15,22638.14,22721.04,22086.5,565088800.0,44949869247.0,0.031484270167196904,上证消费
000037.XSHG,11275.93,11477.64,11515.48,11176.09,498444200.0,24587209552.0,0.020056950078030766,上证医药
000038.XSHG,5730.5,5709.88,5778.62,5657.26,3383602900.0,41166206938.0,3.3276762836598195e-05,上证金融
399001.XSHE,15702.2,15962.25,16010.4,15632.14,14119199386.0,339019910655.64,0.02121995551025968,深证成指
399300.XSHE,5709.68,5807.72,5823.42,5707.33,17016978600.0,417056463360.9,0.021362057595075923,沪深300
