index_name,open,close,high,low,volume,money,close_pct_chg,name
399317.XSHE,6066.46,6143.71,6158.23,6059.39,51764623538.0,834517475380.85,0.016014896963222336,国证A指
399311.XSHE,5487.44,5566.81,5581.77,5480.57,32324483889.0,633627194952.93,0.018262401293586805,国证1000
000906.XSHG,5801.86,5889.99,5905.67,5795.58,28921244500.0,567092226900.8,0.019048805427092752,中证800
399106.XSHE,2427.66,2460.54,2466.47,2419.64,28269118947.0,482674164202.79,0.01749206034140549,深证综指
399107.XSHE,2540.54,2574.91,2581.15,2532.11,28228133462.0,482493118258.64,0.01748957777646054,深证A指
399100.XSHE,10984.05,11137.87,11164.53,10953.01,27166933657.0,474149961002.85,0.018508578049228896,新指数
000001.XSHG,3612.61,3655.09,3662.77,3612.5,25794082400.0,392643389630.2,0.01431945142070612,上证指数
000002.XSHG,3786.97,3831.54,3839.61,3786.85,25767688200.0,392236045656.0,0.014335295005281523,A股指数
000017.XSHG,3053.6,3089.55,3096.05,3053.5,24411760000.0,363549572818.0,0.014340730234711385,新综指
000090.XSHG,1428.94,1445.52,1448.94,1427.81,24411760000.0,363549572818.0,0.014122450697703792,上证流通
